code,name,new_price,pre_close,change_rate,high,low,volume,amount,turnover,industry,area,macd_golden,kdj_golden,break_ma5,break_ma10,break_ma20,upper_volume,down_volume,upside_volume,reversing_hammer,win_3d,win_5d,win_10d,change_3d,change_5d,change_10d,technical_score,signals,trend
600983,惠而浦,12.11,12.25,-1.14,12.35,11.86,18316,22151469,0.24,白色家电,安徽省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.58,0.75,-2.73,20,['均线突破(突破5日线)'],温和
600985,淮北矿业,14.13,13.51,4.59,14.15,13.61,167166,232168840,0.62,煤炭,安徽省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',5.53,8.19,12.5,30,[],极强
600986,浙文互联,11.76,12.18,-3.45,12.02,11.65,562345,664997329,3.78,营销服务,浙江省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.33,-6.37,-16.0,10,['均线突破(突破5日线)'],弱势
600987,航民股份,8.7,8.55,1.75,8.8,8.58,78818,68748579,0.77,纺织,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.58,6.62,4.95,10,[],温和
600988,赤峰黄金,40.69,39.92,1.93,41.8,40.62,524990,2165949792,3.16,贵金属,内蒙古自治区,0,0,0,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',3.8,9.09,9.94,40,['均线突破(突破20日线)'],强势
600989,宝丰能源,25.74,23.93,7.56,26.31,25.23,916756,2366529716,1.25,化学原料,宁夏回族自治区,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',9.67,11.77,13.84,40,['均线突破(突破5日线)'],极强
600990,四创电子,28.06,27.12,3.47,28.16,27.64,52642,146616991,1.96,地面装备,安徽省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.33,3.93,3.77,10,[],温和
600993,马应龙,26.81,26.93,-0.45,26.95,26.68,9707,25980973,0.23,中药生产,湖北省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.36,-0.85,-3.98,0,[],弱势
600995,南网储能,15.05,14.93,0.8,15.25,14.71,128487,193409890,0.4,电力,云南省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',5.24,11.81,12.57,30,[],极强
600996,贵广网络,8.39,8.64,-2.89,8.49,8.3,60042,50435927,0.48,广播电视,贵州省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.22,-6.98,-4.98,0,[],弱势
